18201,ELEMENTARY SPANISH I ,SPAN,,,An introduction to the Spanish language in the context of Hispanic cultures.,2011
18202,ELEMENTARY SPANISH II ,SPAN,SPAN 18201.,,A continuation of the introduction to the Spanish language in the context of Hispanic cultures.,2011
18301,SPANISH FOR HEALTH CARE I ,SPAN,,,"Introduction to the Spanish language in the context of health care situations, tasks and terminology and Hispanic cultures.",2011
18302,SPANISH FOR HEALTH CARE II ,SPAN,SPAN 18301.,,"A continuation of the introduction to the Spanish language in the context of health care situations, tasks and terminology and Hispanic cultures.",2011
28201,INTERMEDIATE SPANISH I ,SPAN,SPAN 18202.,,"A continuation of the development of listening, speaking, reading and writing skills using a variety of material on the Spanish language in the context of Hispanic cultures.",2011
28202,INTERMEDIATE SPANISH II ,SPAN,SPAN 28201.,,"A continuation of the development of listening, speaking, reading and writing skills using a variety of material on the Spanish language in the context of Hispanic cultures and specific areas of study like culture, business, justice, etc. Credit may be given for SPAN 28202 or SPAN 28206 but not for both.",2011
28206,SPANISH READING FOR COMPREHENSION ,SPAN,SPAN 28201.,,Further develops skills and techniques for understanding written Spanish; conducted in English. Credit not applicable toward Spanish major or minor. Students may obtain credit in SPAN 28202 or SPAN 28206 but not both.,2011
28207,BUSINESS SPANISH I ,SPAN,SPAN 28202 and special approval.,,"Terminology, organization and modes of communication prevalent in modern business world of Spain and Latin America. Presentation of materials followed by practical exercises organized in situational units.",2011
28208,BUSINESS SPANISH II ,SPAN,SPAN 28207.,,"Terminology, organizations and modes of communication prevalent in modern Spanish business world. Presentation of materials is followed by practical exercises organized in situational units.",2011
28209,FIELD STUDY ,SPAN,Special approval.,,For residence and/or field research in a Spanish-speaking community. Prior to registering for this course students must obtain departmental approval. Repeatable for a total of 6 hours.,2011
28212,STUDIES IN GRAMMAR ,SPAN,SPAN 28202.,,This course provides a comprehensive grammar review for students who need to improve their skills prior to taking advanced language courses.,2011
38211,SPANISH GRAMMAR AND COMPOSITION ,SPAN,SPAN 28202.,,This course provides an intensive grammar study and further written practice to help advanced intermediate students express complex ideas in Spanish.,2011
38213,SPANISH READING AND CONVERSATION ,SPAN,SPAN 38211.,,This course provides reading techniques and develops oral skills to help advanced intermediate students express complex ideas in Spanish.,2011
38215,SPANISH PHONETICS AND DICTION ,SPAN,SPAN 38211.,,Study of the modern Spanish sound system with special emphasis on pronunciation and intonation.,2011
38231,TRANSLATION PRACTICE:SPANISH ,SPAN,,TRST 30230.,Translation practice with Spanish texts using principles and techniques learned in the lecture class. To be taken concurrently with MCLS 30230. Corequisite: TRST 30230.,2011
38240,CONVERSATION FOR BUSINESS AND SPECIAL PURPOSES:SPANISH ,SPAN,SPAN 38213.,,Introduction to the special vocabulary of business and other special subject areas; introduces the concept of language for special purposes and emphasizes the use of special vocabularies in conversations in business and other settings.,2011
38330,EARLY SPANISH LITERATURE ,SPAN,SPAN 38211.,,"Outline of development, reading of representative works to 1700.",2011
38331,RECENT SPANISH LITERATURE ,SPAN,SPAN 38211.,,"Outline of development, reading of representative works 1700 present.",2011
38334,EARLY SPANISH-AMERICAN LITERATURE ,SPAN,SPAN 38211.,,"Outline of development, reading of representative works including indigenous literature, 1492-1882.",2011
38335,RECENT SPANISH-AMERICAN LITERATURE ,SPAN,SPAN 38211.,,Outline of the development of modern Spanish-American literature (1882 to the present). Reading of representative works.,2011
38421,CIVILIZATION OF SPAIN ,SPAN,SPAN 38211.,,General survey of evolution of Spanish civilization from antiquity to present day.,2011
38424,CULTURE AND CIVILIZATION OF LATIN AMERICA ,SPAN,SPAN 38211.,,A thematic approach to the study of four or five representative Latin American countries focusing on 19th-and 20th-century Latin American culture and society.,2011
48093,VARIABLE TITLE WORKSHOP IN SPANISH ,SPAN,Departmental permission.,,Workshops individually designed to provide instruction and training in specific areas of Hispanic studies. S u graded.,2011
48095,SELECTED TOPICS IN SPANISH ,SPAN,9 hours above 20000-level of Spanish (SPAN) courses.,,Topic announced in Schedule of Classes. Repeatable for a total of 9 hours.,2011
48096,INDIVIDUAL INVESTIGATION ,SPAN,Special approval.,,"Allows the advanced, serious student to carry out research study project on Spanish literature language or culture. Prior approval of supervising faculty member department required. Repeatable for a total of 6 hours.",2011
48215,ADVANCED SPANISH COMP AND CONV ,SPAN,SPAN 38211 and SPAN 38213; and one of SPAN 38330 or SPAN 38331 or SPAN 38334 or SPAN 38335; and special approval.,,"Focuses on description, summary, narration, exposition and argumentation on topics dealing with diverse areas of Hispanic culture as presented through literary and non-fiction texts.",2011
48216,CONTEMPORARY HISPANIC CULTURE ,SPAN,6 hours from 30000-level Spanish courses.,,"A study of selected sociological, political, cultural or economic issues in the contemporary Hispanic world.",2011
48230,ADVANCED TRANSLATION PRACTICE: SPANISH ,SPAN,SPAN 38231.,,"Theory and practice course that discusses translation theory and emphasizes Spanish-to-English translation of selected texts in business, technology, medicine and law.",2011
48240,BUSINESS AND SPECIAL TEXTS: SPANISH ,SPAN,SPAN 38211.,,Survey of the typical text types of business in the Spanish culture and language. Practice sessions focus on reading and understanding specialized texts and on the translation and composition of selected special texts in Spanish.,2011
48340,MEDIEVAL SPANISH POETRY ,SPAN,6 credit hours from SPAN 38330 and SPAN 38331 and SPAN 38334 and SPAN 38335.,,Spanish poetry from its origins to 1500.,2011
48350,DON QUIXOTE ,SPAN,6 hours from SPAN 38330 and SPAN 38331 and SPAN 38334 and SPAN 38335.,,A penetrating study of Cervantes' masterpiece.,2011
48351,MINOR WORKS OF CERVANTES ,SPAN,6 hours from SPAN 38330 and SPAN 38331 and SPAN 38334 and SPAN 38335.,,"La Numancia, Entremeses, La Galatea, Novelas ejemplares.",2011
48352,MEDIEVAL SPANISH PROSE ,SPAN,6 hours from SPAN 38330 and SPAN 38331 and SPAN 38334 and SPAN 38335.,,"The development of medieval Spanish prose, with special emphasis on La Celestina.",2011
48354,NEOCLASSICISM AND ROMANTICISM ,SPAN,9 hours of Spanish courses above the SPAN 38211 level.,,Survey of neoclassicism and romanticism in Spain.,2011
48356,GOLDEN AGE PROSE ,SPAN,6 hours from SPAN 38330 and SPAN 38331 and SPAN 38334 and SPAN 38335.,,Study of the development of the various forms of prose fiction during the Spanish Golden Age.,2011
48358,NINETEENTH-CENTURY NOVEL ,SPAN,SPAN 38421 and SPAN 38331.,,Analysis and critical interpretation of outstanding representatives of 19th-century novel.,2011
48360,TWENTIETH-CENTURY SPANISH DRAMA ,SPAN,SPAN 38421 and SPAN 38331.,,Representative works of leading Spanish dramatists of the 20th century.,2011
48364,GENERATION OF '98 AND AFTER ,SPAN,SPAN 38421 and SPAN 38331.,,Intensive reading of representative works with examination of the history leading to this group.,2011
48366,THE NOVEL OF THE MEXICAN REVOLUTION ,SPAN,6 hours from SPAN 38330 and SPAN 38331 and SPAN 38334 and SPAN 38335.,,A critical sociocultural and literary examination of selected Mexican novels that explore a variety of responses to the first major twentieth-century mass upheaval in Latin America known as the Mexican Revolution.,2011
48370,MODERNISMO IN SPANISH-AMERICA ,SPAN,6 hours from SPAN 38330 and SPAN 38331 and SPAN 38334 and SPAN 38335.,,"Ruben Dario and other writers of the modernista movement; works include modernist poetry, short story and essay.",2011
48372,SPANISH-AMERICAN NOVEL I ,SPAN,6 hours from SPAN 38330 and SPAN 38331 and SPAN 38334 and SPAN 38335.,,A cultural and literary analysis of selected major Spanish-American novels written between 1900 and 1950.,2011
48373,SPANISH AMERICAN NOVEL II ,SPAN,6 hours from SPAN 38330 and SPAN 38331 and SPAN 38334 and SPAN 38335.,,A cultural and literary analysis of selected major Spanish-American novels written from 1950 to the present.,2011
48374,MODERN SPANISH AMERICAN DRAMA ,SPAN,6 hours from SPAN 38330 and SPAN 38331 and SPAN 38334 and SPAN 38335.,,Analysis of selected plays from various Spanish-American countries.,2011
48376,CONTEMPORARY SPANISH-AMERICAN SHORT STORY ,SPAN,6 hours from SPAN 38330 and SPAN 38331 and SPAN 38334 and SPAN 38335.,,The development of the Spanish-American short story from 1917 to the present.,2011
48378,U.S. LATINA/O WRITERS ,SPAN,SPAN 38211 and SPAN 38213; and one of the following: SPAN 38330 or SPAN 38331 or SPAN 38334 or SPAN 38335.,,The course focuses on a representative selection of literary pieces in Spanish by recent U.S. Latino writers developing oral and listening skills in Spanish and strengthening critical thinking on various cultural and literary matters.,2011
48422,EARLY SPANISH-AMERICAN DISCOURSE ,SPAN,SPAN 38213 and SPAN 38334.,,This course provides a critical analysis of cultural and literary issues on texts dealing with early colonial Spanish-American expression.,2011
48423,SPANISH-AMERICAN INDIAN DISCOURSE ,SPAN,SPAN 38213 and SPAN 38334.,,This course provides a critical analysis of cultural and literary issues in selected excerpts of the Spanish-American Indian expression from pre-Columbian to Colonial times.,2011
58095,SELECTED TOPICS IN SPANISH ,SPAN,Graduate standing.,,Topic to be announced in semester schedule of classes. May be repeated to maximum of 15 hours.,2011
58216,CONTEMPORARY HISPANIC CULTURE ,SPAN,Graduate standing.,,"A study of selected sociological, political, cultural or economic issues in the contemporary Hispanic world.",2011
58340,MEDIEVAL SPANISH POETRY ,SPAN,Graduate standing.,,Spanish poetry from its origins to 1500.,2011
58350,DON QUIXOTE ,SPAN,Graduate standing.,,A detailed study of Cervantes' masterpiece.,2011
58351,MINOR WORKS OF CERVANTES ,SPAN,Graduate standing.,,"La Numancia, Entremeses, La Galatea, Novelas ejemplares.",2011
58352,MEDIEVAL SPANISH PROSE ,SPAN,Graduate standing.,,"The development of medieval Spanish prose, with special emphasis on La Celestina.",2011
58354,NEOCLASSICISM AND ROMANTICISM ,SPAN,Graduate standing.,,Survey of neoclassicism and romanticism in Spain.,2011
58356,GOLDEN AGE PROSE ,SPAN,Graduate standing.,,Study of the development of the various forms of prose fiction during the Spanish golden age.,2011
58358,19TH-CENTURY NOVEL ,SPAN,Graduate standing.,,Analysis and critical interpretation of out-standing representatives of the 19th century novel.,2011
58360,20TH-CENTURY SPANISH DRAMA ,SPAN,Graduate standing.,,Representative works of leading Spanish dramatists of the 20th century.,2011
58364,GENERATION OF '98 AND AFTER ,SPAN,Graduate standing.,,Intensive reading of representative works with an examination of the historical circumstances that led to the formation of the Generation of '98.,2011
58366,THE NOVEL OF THE MEXICAN REVOLUTION ,SPAN,Graduate standing.,,A critical sociocultural and literary examination of selected Mexican novels that explore a variety of responses to the first major twentieth-century mass upheaval in Latin America known as the Mexican Revolution.,2011
58370,MODERNISM IN SPANISH AMERICA ,SPAN,Graduate standing.,,"Ruben Dario and other writers of the Modernista movement; works include modernist poetry, short story and essay.",2011
58372,SPANISH-AMERICAN NOVEL I ,SPAN,Graduate standing.,,A cultural and literary analysis of selected major Spanish-American novels written between 1900 and 1950.,2011
58373,SPANISH-AMERICAN NOVEL II ,SPAN,Graduate standing.,,A cultural and literary analysis of selected major Spanish-American novels written from 1950 to the present.,2011
58374,MODERN SPANISH-AMERICAN DRAMA ,SPAN,Graduate standing.,,Analysis of selected plays from various Spanish-American countries.,2011
58376,CONTEMPORARY SPANISH-AMERICAN SHORT STORY ,SPAN,Graduate standing.,,The development of the Spanish-American short story from 1917 to the present.,2011
58378,U.S. LATINA/O WRITERS ,SPAN,Graduate standing.,,The course focuses on a representative selection of literary pieces in Spanish by recent U.S. Latino writers developing oral and listening skills in Spanish and strengthening critical thinking on various cultural and literary matters.,2011
58422,EARLY SPANISH-AMERICAN DISCOURSE ,SPAN,Graduate standing.,,This course provides a critical analysis of cultural and literary issues on texts dealing with early colonial Spanish-American expression.,2011
58423,SPANISH-AMERICAN INDIAN DISCOURSE ,SPAN,Graduate standing.,,This course provides a critical analysis of cultural and literary issues in selected excerpts of the Spanish-American Indian expression from pre-Columbian to colonial times.,2011
68001,SPANISH LITERARY RESEARCH AND WRITING ,SPAN,Graduate standing.,,Individual instruction with problems encountered in academic research and writing in Spanish. Required of all graduate students in their first semester of graduate work.,2011
68010,THE PRACTICE OF SPANISH TRANSLATION ,SPAN,,TRST 60010 and graduate standing.,Students apply linguistic and communication science concepts to case studies of language mediation. Corequisite: TRST 60010 and graduate standing.,2011
68093,VARIABLE TITLE WORKSHOP IN SPANISH ,SPAN,Permission.,,Workshops individually designed to provide instruction and training in specific areas of Spanish studies. S u graded.,2011
68095,SELECTED TOPICS ,SPAN,Graduate standing.,,Selected topics on Spanish literature or linguistics.,2011
68098,RESEARCH ,SPAN,Permission.,,"Research or individual investigation for master's level graduate students. Credits earned applied toward degree requirements if department approves. Repeated registration permitted. ""ip"" permissible.",2011
68191,SEMINAR IN FICTION ,SPAN,Graduate standing.,,Intensive study of one or two major writers or of a movement in the history of Spanish and Spanish-American fiction.,2011
68199,THESIS I ,SPAN,Graduate standing.,,"Thesis students must register for a total of 6 hours, 2 to 6 hours in a single semester distributed over several semesters if desired.",2011
68201,READING SPANISH FOR GRADUATE STUDENTS ,SPAN,Graduate standing.,,Introduction to the fundamentals of Spanish grammar for graduate students. Practice in reading and translation.,2011
68202,READING SPANISH FOR GRADUATE STUDENTS ,SPAN,Graduate standing.,,Specialized graded readings in Spanish for students in the humanities and social sciences. Not open to Spanish majors.,2011
68215,ADVANCED SPANISH COMP AND CONV ,SPAN,Graduate standing.,,"Focuses on description, summary, narration, exposition and argumentation on topics dealing with diverse areas of Hispanic culture as presented through literary and non-fiction texts.",2011
68240,LITERARY AND CULTURAL TRANSLATION ,SPAN,Graduate standing.,,"Translating documents from a variety of literary and cultural sources, including literature, expository and journalistic prose, scholarly treatises and essays. Translation into Spanish will also be emphasized.",2011
68250,"COMMERCIAL, LEGAL AND DIPLOMATIC TRANSLATION ",SPAN,TRST 60010 and graduate standing.,,"An introduction to methods and resources for the translation of commercial, economic financial legal diplomatic and governmental documents.",2011
68251,"SCIENTIFIC, TECHNICAL AND MEDICAL TRANSLATION ",SPAN,TRST 60010 and graduate standing.,,"An introduction to methods and resources for the translation of scientific, technical, industrial and medical documents.",2011
68299,THESIS II ,SPAN,SPAN 68199 and graduate standing.,,Thesis students must continue registration each semester until all degree requirements are met.,2011
68391,SEMINAR IN THEATRE ,SPAN,Graduate standing.,,Intensive study of one or two major dramatists or movements in the history of Spanish and Spanish-American theatre.,2011
68591,SEMINAR IN POETRY ,SPAN,Graduate standing.,,Intensive study of one or two major poets or of a movement in the history of Spanish and Spanish-American poetry.,2011
68979,CASE STUDY IN TRANSLATION ,SPAN,Special approval and graduate standing.,,"Students will be responsible for a major translation and a terminology glossary as well as a critical analysis of the source text, the problems encountered during the translation process and the strategies used to solve them.",2011
