17001,STUDIO MODERN I ,DAN,,,Practice of basic modern dance technique. Open to all university students.,2012
17002,STUDIO MODERN DANCE II ,DAN,DAN 17001.,,Exploration of modern dance technique foundations and improvisation with emphasis on the movement and performing qualities of modern dance. Open to all university students.,2012
17004,STUDIO JAZZ I ,DAN,,,Practice of basic jazz techniques. Open to all university students.,2012
17005,STUDIO JAZZ II ,DAN,DAN 17004.,,Continuation of jazz dance technique foundations with emphasis on more advanced dance combinations. Open to all university students.,2012
17007,STUDIO TAP I ,DAN,,,Basic tap steps and combinations with varying sound intensities and rhythms. Open to all university students.,2012
17008,STUDIO TAP II ,DAN,DAN 17007.,,Continuation of tap dance technique foundations with emphasis on more advanced dance combinations.,2012
17009,STUDIO TAP III,DAN,DAN 17008.,,"(Repeatable for a maximum of 8 credit hours) Advanced tap dance techniques with emphasis on clarity, speed and performance skills.",2012
17010,STUDIO BALLET I ,DAN,,,"Introduction to the foundations of ballet placement, vocabulary and movement for the beginner. Open to all university students.",2012
17011,STUDIO BALLET II ,DAN,DAN 17010.,,Continuation of ballet technique foundations with emphasis on more advanced dance combinations. Open to all university students.,2012
17013,STUDIO AFRICAN DANCE I ,DAN,,,Designed to acquaint students with basic elements of African dance. Open to all university students.,2012
17016,STUDIO SWING DANCE I,DAN,,,(Repeatable for a maximum of 2 credit hours) Practice of basic swing dance movements with emphasis on social partnering skills. Open to all students.,2012
17049,FUNDAMENTALS OF BALLET AND MODERN DANCE ,DAN,DAN 17001 and 17010.,,"Introduction to intensive exploration of ballet and modern dance technique for nonmajors with special emphasis on alignment, body awareness and movement vocabulary.",2012
17050,INTRODUCTION TO DANCE ,DAN,Dance major and special approval.,,"Overview of modern dance as a performing art. Specifically focusing on preparation, basic knowledge and career choices.",2012
17051,MODERN DANCE TECHNIQUE I-A ,DAN,Dance major and special approval.,,"Development of skill acquisition in basic technique, understanding and appreciation for the creative nature of dance through exposure to improvisational experiences.",2012
17052,BALLET I-A ,DAN,Dance major and special approval.,,Ballet techniques: pre-barre; beginning barre and beginning center work.,2012
